#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-10 00:34
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "hot+outside"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,09,21,43,12,failure,NA,NA,NA,NA,818622944930775041,87329443116373196,0,1
Fri,2017,6,09,21,40,50,citystate,baltimore,md,39.2903848,-76.6121893,744131874,873293836415619078,0,1
Fri,2017,6,09,21,40,46,geo,unk,unk,39.27718,-76.6147,744131874,87329381932793856,0,1
Fri,2017,6,09,21,37,39,failure,NA,NA,NA,NA,765285376244277248,87329303636892057,0,1
Fri,2017,6,09,21,36,37,failure,NA,NA,NA,NA,4416092712,87329277537834598,0,1
Fri,2017,6,09,21,35,17,citystate,scottsdale,az,33.5092103,-111.8990327,1261833469,873292442644119552,0,1
Fri,2017,6,09,21,33,58,citystate,new york,ny,40.7142691,-74.0059729,86845266,873292110274990081,0,1
Fri,2017,6,09,21,32,40,citystate,new orleans,la,29.9546482,-90.075072,373372407,873291781185712128,0,1
Fri,2017,6,09,21,31,12,citystate,edmond,ok,35.6528323,-97.4780954,170498818,873291413341057024,0,1
Fri,2017,6,09,21,30,22,failure,NA,NA,NA,NA,35656789,87329120487992934,0,1
Fri,2017,6,09,21,28,52,failure,NA,NA,NA,NA,777512694,87329082584467046,0,1
Fri,2017,6,09,21,24,12,failure,NA,NA,NA,NA,787442507005124608,87328965034924032,0,1
Fri,2017,6,09,21,24,10,citystate,denver,co,39.7391536,-104.9847034,3037122338,873289643332075520,0,1
Fri,2017,6,09,21,21,34,citystate,houma,la,29.5957696,-90.7195348,145040115,873288989805092865,0,1
Fri,2017,6,09,21,19,42,geo,unk,unk,42.40467,-83.22808,57238094,87328852033245593,0,1
Fri,2017,6,09,21,16,55,knowncity,philly,unk,39.95,-75.17,1043399306,87328781693507174,0,1
Fri,2017,6,09,21,13,44,citystate,aurora,il,41.7605849,-88.3200715,3439460463,873287017895006208,0,1
Fri,2017,6,09,21,11,58,citystate,west,tx,31.8023831,-97.0916692,17588130,873286572610920448,0,1
Fri,2017,6,09,21,07,59,citystate,kingsville,tx,27.5158689,-97.856109,828054951280705538,873285571262722048,0,1
Fri,2017,6,09,21,07,44,citystate,eastpointe,mi,42.4683698,-82.9554746,48560080,873285509237309442,0,1
Fri,2017,6,09,21,05,47,failure,NA,NA,NA,NA,1105133173,87328501630603264,0,1
Fri,2017,6,09,21,00,40,failure,NA,NA,NA,NA,864601737335758848,87328372979134054,0,1
Fri,2017,6,09,21,00,26,failure,NA,NA,NA,NA,402931007,87328367034129203,0,1
Fri,2017,6,09,20,59,16,knowncity,st louis mo,unk,38.63,-90.2,834413876900945921,87328337796475289,0,1
Fri,2017,6,09,20,56,49,citystate,mountain home,ar,36.3353449,-92.3851593,2156136229,873282760789573632,0,1
