#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,23,18,49,59,geo,unk,unk,39.0704366,-94.6967189,149000024,87832427222098329,0,1
Fri,2017,6,23,18,48,37,failure,NA,NA,NA,NA,87275826,87832392603564851,0,1
Fri,2017,6,23,18,47,30,geo,unk,unk,43.0073961,-71.4952372,149758827,87832364825943654,0,1
Fri,2017,6,23,18,46,37,citystate,corpus christi,tx,27.8005828,-97.396381,1880433156,878323422450728961,0,1
Fri,2017,6,23,18,46,32,failure,NA,NA,NA,NA,87275826,87832340267043225,0,1
Fri,2017,6,23,18,43,07,failure,NA,NA,NA,NA,210766152,87832254347980390,0,1
Fri,2017,6,23,18,38,47,geo,unk,unk,39.1347147,-94.5160396,23512079,87832145369472205,0,1
Fri,2017,6,23,18,35,42,geo,unk,unk,38.9647235,-94.7381013,149000024,87832067602463129,0,1
Fri,2017,6,23,18,35,20,failure,NA,NA,NA,NA,466600845,87832058665659597,0,1
Fri,2017,6,23,18,32,22,failure,NA,NA,NA,NA,38367483,87831983902613504,0,1
Fri,2017,6,23,18,30,38,failure,NA,NA,NA,NA,15922073,87831940187895398,0,1
Fri,2017,6,23,18,22,28,geo,unk,unk,33.8428724,-118.0127534,27352034,87831734731601510,0,1
Fri,2017,6,23,18,21,26,geo,unk,unk,39.0704366,-94.6967189,149000024,87831708789406515,0,1
Fri,2017,6,23,18,10,39,failure,NA,NA,NA,NA,87275826,87831437118889984,0,1
Fri,2017,6,23,18,08,38,failure,NA,NA,NA,NA,87275826,87831386434093875,0,1
Fri,2017,6,23,17,49,13,citystate,atlanta,ga,33.7489954,-84.3879824,18820518,878308979578941442,0,1
Fri,2017,6,23,17,42,28,knowncity,atlanta,unk,33.75,-84.39,67653749,87830727932537241,0,1
Fri,2017,6,23,17,42,28,citystate,atlanta,ga,33.7489954,-84.3879824,1636462790,878307279187193856,0,1
Fri,2017,6,23,17,42,28,citystate,atlanta,ga,33.7489954,-84.3879824,154622596,878307279178747906,0,1
Fri,2017,6,23,17,39,37,citystate,atlanta,ga,33.7489954,-84.3879824,18820518,878306561331929088,0,1
Fri,2017,6,23,17,39,05,citystate,atlanta,ga,33.7489954,-84.3879824,18820518,878306429152526336,0,1
Fri,2017,6,23,17,35,52,citystate,atlanta,ga,33.7489954,-84.3879824,18820518,878305620432044032,0,1
Fri,2017,6,23,17,18,19,geo,unk,unk,43.0972174,-89.5042876,24603041,87830120299103846,0,1
Fri,2017,6,23,17,14,55,citystate,durham,nc,35.9940329,-78.898619,3390176254,878300346602315776,0,1
Fri,2017,6,23,17,04,40,citystate,nashville,tn,36.1658899,-86.7844432,208016676,878297769294934016,0,1
Fri,2017,6,23,17,01,49,failure,NA,NA,NA,NA,875392216763473922,87829704930890956,0,1
Fri,2017,6,23,16,59,44,knowncity,miami fl to atlantaga,unk,25.78,-80.22,302114930,87829652460160204,0,1
Fri,2017,6,23,16,55,26,failure,NA,NA,NA,NA,106470258,87829544330584473,0,1
Fri,2017,6,23,16,45,09,failure,NA,NA,NA,NA,100986964,87829285632619315,0,1
Fri,2017,6,23,16,39,11,citystate,atlanta,ga,33.7489954,-84.3879824,287886327,878291356560408580,0,1
Fri,2017,6,23,16,34,00,geo,unk,unk,42.8680259,-71.3756912,149758827,87829005193892659,0,1
Fri,2017,6,23,16,30,50,failure,NA,NA,NA,NA,78110149,87828925292820889,0,1
Fri,2017,6,23,16,15,52,failure,NA,NA,NA,NA,835743206,87828548507604172,0,1
Fri,2017,6,23,16,15,49,failure,NA,NA,NA,NA,836017502,87828547335301529,0,1
Fri,2017,6,23,16,10,27,failure,NA,NA,NA,NA,750539031407104001,87828412532875264,0,1
Fri,2017,6,23,16,00,41,failure,NA,NA,NA,NA,78110149,87828166528136806,0,1
Fri,2017,6,23,15,37,27,citystate,york,pa,39.9625984,-76.727745,337986810,878275818249531392,0,1
Fri,2017,6,23,15,36,49,geo,unk,unk,43.4442432,-71.6472988,149758827,87827565940285440,0,1
Fri,2017,6,23,15,12,33,geo,unk,unk,42.2959267,-71.7128471,23472644,87826955187551027,0,1
Fri,2017,6,23,15,01,24,geo,unk,unk,42.5250906,-71.759794,23472644,87826674567648460,0,1
Fri,2017,6,23,14,52,06,failure,NA,NA,NA,NA,143903650,87826440673963212,0,1
Fri,2017,6,23,14,12,23,citystate,columbus,ga,32.4609764,-84.9877094,2198410820,878254411084177408,0,1
Fri,2017,6,23,14,10,43,citystate,green bay,wi,44.519159,-88.019826,1904753000,878253992626851840,0,1
Fri,2017,6,23,14,08,37,citystate,boston,ma,42.3584308,-71.0597732,27171501,878253462919585792,0,1
Fri,2017,6,23,13,57,06,geo,unk,unk,33.7489465,-84.5484275,23476090,87825056711348224,0,1
Fri,2017,6,23,13,49,04,citystate,toledo,oh,41.6639383,-83.555212,22795270,878248545530380288,0,1
Fri,2017,6,23,13,47,49,knowncity,indianapolis,unk,39.79,-86.14,2788296475,87824822931340902,0,1
Fri,2017,6,23,13,40,04,geo,unk,unk,41.3614401,-81.812912,23496955,87824627701995110,0,1
Fri,2017,6,23,13,34,43,citystate,concord,ca,37.9779777,-122.0310733,1880156011,878244931663540224,0,1
Fri,2017,6,23,13,31,23,geo,unk,unk,34.1798177,-85.7613554,149115362,87824409260960972,0,1
Fri,2017,6,23,13,29,38,failure,NA,NA,NA,NA,374857959,87824365334015590,0,1
Fri,2017,6,23,13,26,22,knowncity,harrisburg pennsylvania usa,unk,40.27,-76.88,9651842,87824283244793856,0,1
Fri,2017,6,23,13,19,32,knowncity,philadelphia,unk,39.95,-75.17,3250877384,87824111299282534,0,1
Fri,2017,6,23,13,17,45,geo,unk,unk,41.9320859,-88.0020589,23472383,87824066155564236,0,1
Fri,2017,6,23,13,13,11,citystate,durham,nc,35.9940329,-78.898619,3390176254,878239514694524929,0,1
Fri,2017,6,23,13,11,48,citystate,mansfield,oh,40.75839,-82.5154471,28489820,878239162964594688,0,1
Fri,2017,6,23,13,07,26,knowncity,san francisco bay area ca,unk,37.77,-122.42,55352474,87823806812945203,0,1
Fri,2017,6,23,13,00,10,knowncity,philadelphia pa usa,unk,39.95,-75.17,312149882,87823623580161228,0,1
Fri,2017,6,23,12,57,01,failure,NA,NA,NA,NA,374857959,87823544658472550,0,1
Fri,2017,6,23,12,51,05,geo,unk,unk,34.2200942,-85.6077402,149115362,87823395138232730,0,1
Fri,2017,6,23,12,49,12,failure,NA,NA,NA,NA,390124553,87823347964895232,0,1
Fri,2017,6,23,12,49,12,failure,NA,NA,NA,NA,47960191,87823347879756595,0,1
Fri,2017,6,23,12,47,04,geo,unk,unk,42.6004425,-71.3468091,23472644,87823293894030950,0,1
