pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
72a19c1b,fixed,bayesian,20,11,8,39
72a19c1b,predictive,bayesian,17,19,3,39
72a19c1b,reactive,bayesian,23,12,4,39
7510cabb,fixed,bayesian,17,13,9,39
7510cabb,predictive,bayesian,20,16,3,39
7510cabb,reactive,bayesian,26,8,5,39
75c6327e,fixed,bayesian,20,9,10,39
75c6327e,predictive,bayesian,21,12,6,39
75c6327e,reactive,bayesian,21,13,5,39
7850d657,fixed,oracle,18,12,9,39
7850d657,predictive,oracle,22,17,0,39
7850d657,reactive,oracle,18,17,4,39
78c832b1,fixed,bayesian,19,14,6,39
78c832b1,predictive,bayesian,15,23,1,39
78c832b1,reactive,bayesian,12,20,7,39
795b8556,fixed,oracle,15,18,6,39
795b8556,predictive,oracle,16,22,1,39
795b8556,reactive,oracle,19,19,1,39
7b7faa16,fixed,bayesian,20,17,2,39
7b7faa16,predictive,bayesian,14,23,2,39
7b7faa16,reactive,bayesian,18,19,2,39
7c3a7634,fixed,oracle,25,5,9,39
7c3a7634,predictive,oracle,26,13,0,39
7c3a7634,reactive,oracle,27,8,4,39
7c3fd6bd,fixed,oracle,20,10,9,39
7c3fd6bd,predictive,oracle,23,15,1,39
7c3fd6bd,reactive,oracle,22,7,10,39
7eeab490,fixed,oracle,23,8,8,39
7eeab490,predictive,oracle,22,17,0,39
7eeab490,reactive,oracle,24,11,4,39
809635e7,fixed,bayesian,24,11,4,39
809635e7,predictive,bayesian,15,23,1,39
809635e7,reactive,bayesian,20,15,4,39
826562fb,fixed,bayesian,22,11,6,39
826562fb,predictive,bayesian,21,14,4,39
826562fb,reactive,bayesian,25,10,4,39
82e0e5fd,fixed,bayesian,24,6,9,39
82e0e5fd,predictive,bayesian,17,17,5,39
82e0e5fd,reactive,bayesian,23,8,8,39
873e1fc5,fixed,bayesian,21,14,4,39
873e1fc5,predictive,bayesian,13,24,2,39
873e1fc5,reactive,bayesian,17,19,3,39
8a620a4b,fixed,oracle,21,13,5,39
8a620a4b,predictive,oracle,27,12,0,39
8a620a4b,reactive,oracle,22,10,7,39
8a7de72d,fixed,bayesian,24,8,7,39
8a7de72d,predictive,bayesian,21,17,1,39
